pack_index,x1,y1,x2,y2,battery_count,expected,ok,card_conf
0,0,153,154,328,6,2,0,1.000
1,33,0,212,6,6,2,0,1.000
2,0,0,166,6,6,2,0,1.000
3,317,0,556,6,6,2,0,1.000
4,306,0,456,6,6,2,0,1.000
5,264,0,468,6,6,2,0,1.000
6,371,0,527,6,6,2,0,1.000
7,200,0,405,6,6,2,0,1.000
8,142,0,357,6,6,2,0,1.000
9,12,0,182,6,6,2,0,1.000
10,77,0,313,6,6,2,0,1.000
11,245,98,448,314,6,2,0,1.000
12,292,136,528,313,6,2,0,1.000
13,0,0,103,6,6,2,0,1.000
14,0,0,180,106,6,2,0,1.000
15,0,0,235,122,6,2,0,1.000
16,0,0,412,155,6,2,0,1.000
17,0,131,89,323,6,2,0,1.000
18,75,148,293,329,6,2,0,1.000
19,31,144,219,329,6,2,0,1.000
